call_price,path
30.0716,2015,
30.0737,2016,
30.0848,2017,
30.0765,2018,
30.0816,2019,
30.0667,2020,
30.054,2021,
30.0391,2022,
30.0302,2023,
30.041,2024,
30.0726,2025,
30.0684,2026,
30.0644,2027,
30.0607,2028,
30.1303,2029,
30.1349,2030,
30.12,2031,
30.1137,2032,
30.1049,2033,
30.0972,2034,
30.0922,2035,
30.089,2036,
30.0742,2037,
30.0786,2038,
30.0729,2039,
30.0608,2040,
30.0577,2041,
30.043,2042,
30.0682,2043,
30.0748,2044,
30.0684,2045,
30.0585,2046,
30.0504,2047,
30.0358,2048,
30.0381,2049,
30.0235,2050,
30.0258,2051,
30.0112,2052,
29.9965,2053,
30.0325,2054,
30.0381,2055,
30.0502,2056,
30.0364,2057,
30.0241,2058,
30.0243,2059,
30.038,2060,
30.0287,2061,
30.0199,2062,
30.0108,2063,
29.9963,2064,
29.9856,2065,
29.9853,2066,
29.9794,2067,
29.9649,2068,
29.9701,2069,
29.9722,2070,
29.9662,2071,
29.955,2072,
29.9486,2073,
29.9341,2074,
29.9246,2075,
29.9359,2076,
29.9215,2077,
29.9166,2078,
29.9022,2079,
29.9071,2080,
29.9062,2081,
29.9016,2082,
29.8955,2083,
29.8987,2084,
29.8927,2085,
29.8968,2086,
29.9486,2087,
29.9517,2088,
29.9868,2089,
29.9763,2090,
29.9752,2091,
29.9609,2092,
29.954,2093,
29.941,2094,
29.943,2095,
29.9458,2096,
29.9609,2097,
29.9541,2098,
29.9641,2099,
29.9498,2100,
29.9416,2101,
29.9273,2102,
29.9131,2103,
29.9077,2104,
29.9258,2105,
29.914,2106,
29.9061,2107,
29.9074,2108,
29.8932,2109,
29.8907,2110,
29.8795,2111,
29.8914,2112,
29.8823,2113,
29.8682,2114,
29.8827,2115,
29.8686,2116,
29.8964,2117,
29.9123,2118,
29.9241,2119,
29.91,2120,
29.9603,2121,
29.9467,2122,
29.9516,2123,
29.9375,2124,
29.9502,2125,
29.9585,2126,
29.9444,2127,
29.954,2128,
29.9519,2129,
29.9379,2130,
29.9333,2131,
29.9321,2132,
29.9181,2133,
29.9056,2134,
29.9023,2135,
29.8901,2136,
29.8902,2137,
29.9013,2138,
