call_price,path
34.5516,193,
34.4961,194,
34.6256,195,
34.449,196,
34.2769,197,
34.3044,198,
34.183,199,
34.1295,200,
34.0561,201,
33.9545,202,
33.8559,203,
33.7828,204,
33.6262,205,
33.6441,206,
33.4816,207,
33.5862,208,
33.4255,209,
33.5565,210,
33.5032,211,
33.3974,212,
33.4817,213,
33.3252,214,
33.1702,215,
33.5921,216,
33.5255,217,
33.4348,218,
33.3564,219,
33.2797,220,
33.632,221,
33.4805,222,
33.5198,223,
33.3702,224,
33.3144,225,
33.2214,226,
33.402,227,
33.2555,228,
33.2296,229,
33.1173,230,
33.2332,231,
33.0899,232,
32.9479,233,
33.0611,234,
32.9205,235,
32.9867,236,
33.0061,237,
32.874,238,
32.7364,239,
32.8803,240,
32.7439,241,
32.9454,242,
32.8134,243,
32.8388,244,
32.7047,245,
33.574,246,
33.4789,247,
33.4389,248,
33.3047,249,
33.7059,250,
33.7188,251,
33.5924,252,
33.8436,253,
33.7103,254,
33.5781,255,
33.619,256,
33.4882,257,
33.5704,258,
33.4549,259,
33.4553,260,
33.6064,261,
33.4781,262,
33.4654,263,
33.3599,264,
33.234,265,
33.3414,266,
33.3417,267,
33.2311,268,
33.1378,269,
33.1124,270,
33.0207,271,
32.9952,272,
32.9342,273,
32.8739,274,
32.7543,275,
32.8621,276,
32.8291,277,
32.7469,278,
32.8473,279,
32.7299,280,
32.6988,281,
32.6175,282,
32.8952,283,
32.7793,284,
32.7379,285,
32.666,286,
32.5521,287,
32.6556,288,
33.082,289,
32.9679,290,
32.8879,291,
32.8578,292,
32.7457,293,
32.8521,294,
32.8143,295,
32.7425,296,
32.6322,297,
32.6643,298,
32.6068,299,
32.5557,300,
32.4929,301,
32.4491,302,
32.7285,303,
32.6208,304,
32.5139,305,
32.6318,306,
32.5255,307,
32.5853,308,
32.492,309,
32.4948,310,
32.4796,311,
32.3983,312,
32.2948,313,
32.4098,314,
32.4024,315,
32.3178,316,
32.301,317,
32.2234,318,
32.2838,319,
32.1829,320,
32.0826,321,
32.116,322,
32.0617,323,
32.019,324,
31.9463,325,
31.9278,326,
31.8302,327,
31.8865,328,
31.7895,329,
32.0907,330,
32.2306,331,
32.1335,332,
32.0698,333,
32.0411,334,
31.9455,335,
32.0408,336,
32.2549,337,
32.1595,338,
32.0935,339,
32.0696,340,
31.9755,341,
32.0781,342,
32.1957,343,
32.1021,344,
32.0091,345,
32.1506,346,
32.058,347,
32.135,348,
32.0429,349,
32.2129,350,
32.1404,351,
32.1296,352,
32.0385,353,
32.0668,354,
31.9765,355,
32.0718,356,
32.116,357,
32.0263,358,
31.9733,359,
31.94,360,
